model,threshold,net_benefit,treat_all_nb,advantage
SVM,0.2133,0.37596001975197957,0.3123579450936993,0.06360207465828027
SVM,0.2182,0.3739777226806794,0.30799689153683896,0.06598083114384046
SVM,0.2232,0.37668031013470854,0.3035801689709231,0.07310014116378544
SVM,0.2282,0.3796282249212454,0.29910670462353983,0.0805215202977056
SVM,0.2331,0.3828262251969692,0.2945753979801899,0.08825082721677929
SVM,0.2381,0.38115703316114824,0.2899851198816823,0.09117191327946594
SVM,0.243,0.37946597559910317,0.2853347115860583,0.09413126401304489
SVM,0.248,0.3777526200381396,0.28062298379340855,0.09712963624473103
SVM,0.2529,0.37601652252484835,0.27584871563185753,0.10016780689299082
SVM,0.2579,0.3578637846186403,0.27101065360290033,0.08685313101573999
SVM,0.2629,0.3619265472105731,0.2661075104841784,0.09581903672639469
SVM,0.2678,0.3662663478164341,0.2611379641876751,0.10512838362875898
SVM,0.2728,0.36473989096295845,0.2561006565712056,0.10863923439175283
SVM,0.2777,0.3631924775174281,0.25099419220095553,0.11219828531647258
SVM,0.2827,0.3452302303071274,0.2458171370627007,0.09941309324442671
SVM,0.2876,0.34363958793031096,0.24056801721920645,0.10307157071110451
SVM,0.2926,0.3420266485945418,0.2352453174111681,0.10678133118337368
SVM,0.2976,0.340390940166582,0.22984747959890092,0.11054346056768108
SVM,0.3025,0.33873197708868263,0.2243729014418329,0.11435907564684974
SVM,0.3075,0.32065581727508,0.21881993471268207,0.10183588256239795
SVM,0.3124,0.318948832102456,0.21318688364302288,0.10576194845943312
SVM,0.3174,0.31721705014904045,0.20747200319675158,0.10974504695228887
SVM,0.3224,0.315459927140255,0.20167349726775957,0.11378642987249543
SVM,0.3273,0.31367690275544996,0.19578951679790296,0.117887385957547
SVM,0.3323,0.31186740003218444,0.1898181578111267,0.12204924222105773
SVM,0.3372,0.31003082474376803,0.1837574593593525,0.12627336538441553
SVM,0.3422,0.30816656474865345,0.17760540137547431,0.13056116337317913
SVM,0.3471,0.306273989310184,0.17135990242852528,0.13491408688165873
SVM,0.3521,0.29686802321872807,0.1650188173757734,0.13184920584295468
SVM,0.3571,0.29511196436338544,0.15857993490618388,0.13653202945720155
SVM,0.362,0.2933286116533365,0.15204097496933783,0.14128763668399869
SVM,0.367,0.2915173237753883,0.14539958608352754,0.14611773769186076
SVM,0.3719,0.2896774391661585,0.13865334251635175,0.15102409664980676
SVM,0.3769,0.287808275206438,0.13179974133070982,0.15600853387572816
SVM,0.3818,0.28590912737678176,0.12483619928863687,0.16107292808814488
SVM,0.3868,0.28397926837213583,0.1177600496049353,0.16621921876720053
SVM,0.3918,0.28201794717316164,0.11056853854202991,0.17144940863113173
SVM,0.3967,0.28002438807176666,0.10325882183691504,0.17676556623485162
SVM,0.4017,0.27799778964818567,0.09582796095045126,0.1821698286977344
SVM,0.4066,0.2759373236967782,0.0882729191286239,0.1876644045681543
SVM,0.4116,0.2853095836786679,0.08059055726466907,0.2047190264139988
SVM,0.4166,0.2834155405963784,0.0727776295502251,0.21063791104615331
SVM,0.4215,0.2814890313485297,0.064830778902849,0.2166582524456807
SVM,0.4265,0.27952921395544345,0.05674653215636821,0.22278268179907523
SVM,0.4314,0.2775352170689513,0.04852129499958807,0.22901392206936322
SVM,0.4364,0.27550613868065416,0.04015134664786241,0.23535479203279175
SVM,0.4413,0.27344104476139747,0.03163283423092855,0.24180821053046891
SVM,0.4463,0.2713389678276511,0.022961766879224965,0.24837720094842614
SVM,0.4513,0.2826801897923832,0.014134009489619181,0.268546180302764
